LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender,CD
c $1-2 million,1 WASHINGTON AVENUE CORP.,101 Station Landing Ste 100,MEDFORD,MA,2155,722511,Corporation,Unanswered,Unanswered,Unanswered,,157,04/14/2020,Northern Bank and Trust Company,MA-07
b $2-5 million,"1 WAY SERVICE, INC.",65 CADILLAC SQ,DETROIT,MI,48226,238910,Cooperative,Unanswered,Unanswered,Unanswered,,,04/07/2020,First Merchants Bank,MI-13
"e $150,000-350,000","1 WAY SOLUTIONS, INC.",1275 POWERS FERRY RD SE STE 210,MARIETTA,GA,30067,541690,Corporation,Asian,Male Owned,Non-Veteran,,10,05/05/2020,"Bank of America, National Association",GA-06
"d $350,000-1 million","1-0 GRANNY'S HELPFUL HANDS, LLC",705 E LAKE ST,MINNEAPOLIS,MN,55407,621610,Limited  Liability Company(LLC),Black or African American,Female Owned,Non-Veteran,,51,04/08/2020,Royal CU,MN-05
"e $150,000-350,000","1-2-3 DELIVERY SERVICES, INC.",3527 HARLEM RD,BUFFALO,NY,14225,492110,Corporation,White,Female Owned,Non-Veteran,,31,04/13/2020,CNB Bank,NY-26
"e $150,000-350,000","1-2-3-4-5, INC.",5151 PROCYON ST Ste 108,LAS VEGAS,NV,89118,453998,Corporation,Unanswered,Unanswered,Unanswered,,18,05/05/2020,Town & Country Bank,NV-03
"d $350,000-1 million",1-800 WINESHOP.COM INC.,560 Technology Way,NAPA,CA,94558,445310,Corporation,Unanswered,Unanswered,Unanswered,,37,05/01/2020,Bank of the West,CA-05
"e $150,000-350,000",1-800-BOARDUP INC.,75 12TH STREET SOUTH,JACKSONVILLE BEACH,FL,32250,624230,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,16,04/15/2020,First-Citizens Bank & Trust Company,FL-04
"e $150,000-350,000","1-800-BOLLARD, INC.",23392 Madero Road Suite L,Mission Viejo,CA,92691,332996,Corporation,Unanswered,Unanswered,Unanswered,,6,04/27/2020,Comerica Bank,CA-45
"e $150,000-350,000","1-800-PLUMBER OF PEARLAND, LLC",3905 HALIK ST,PEARLAND,TX,77581,238220,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,15,04/10/2020,Frost Bank,TX-22
"d $350,000-1 million","1-888-4-ABATEMENT, INC., A CALIFORNIA CORPORATION",3158 Luyung Dr.,RANCHO CORDOVA,CA,95742,238990,Corporation,White,Male Owned,Non-Veteran,,66,04/10/2020,First-Citizens Bank & Trust Company,CA-07
c $1-2 million,1-CALL STAFFING LLC,"2121 South 48th Street, Suite 102",Tempe,AZ,85282,453998,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,216,04/15/2020,"Readycap Lending, LLC",AZ-09
"e $150,000-350,000","1-VOIP ENHANCED SERVICES, LLC","80 East 5th Street, Suite 200",EDMOND,OK,73034,517919,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,21,04/10/2020,First National Bank of Oklahoma,OK-05
"e $150,000-350,000","1. CONQUEST INDUSTRIES, INC. 2. LIBERTY MFG., INC.",12740 Lakeland Road,Santa Fe Springs,CA,90670,333249,Corporation,Unanswered,Unanswered,Unanswered,,24,04/28/2020,Comerica Bank,CA-38
"e $150,000-350,000","1/0 CAPITAL, LLC",175 Greenwich Street 59th Floor,NEW YORK,NY,10007,523910,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,3,05/01/2020,"JPMorgan Chase Bank, National Association",NY-10
"d $350,000-1 million",10 31 INC,2 W CRISMAN RD,COLUMBIA,NJ,7832,337110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,29,04/13/2020,"PNC Bank, National Association",NJ-05
"d $350,000-1 million",10 ADAMS CORP,1112 SE 1ST ST,EVANSVILLE,IN,47713,541810,Corporation,White,Unanswered,Unanswered,,29,04/14/2020,German American Bank,IN-08
c $1-2 million,10 BELOW LLC,2500 CRESTWOOD BLVD 500,IRONDALE,AL,35210,448120,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,236,04/05/2020,ServisFirst Bank,AL-06
"d $350,000-1 million",10 DOWNING RESTAURANT LLC,10 DOWNING STREET,NEW YORK,NY,10014,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,52,05/01/2020,"JPMorgan Chase Bank, National Association",NY-10
b $2-5 million,10 ELLICOTT SQUARE COURT CORPORATION,295 Main Street,BUFFALO,NY,14203,531120,Corporation,Unanswered,Unanswered,Unanswered,,499,04/16/2020,Northwest Bank,NY-26
"e $150,000-350,000",10 ENTERPRISES LLC,0275 CR 222,DE BEQUE,CO,81630,721199,Corporation,Unanswered,Unanswered,Unanswered,,0,05/07/2020,"Wells Fargo Bank, National Association",CO-03
"d $350,000-1 million",10 FEDERAL PARTNERS INC,4101 LAKE BOONE TRAIL SUITE 100,RALEIGH,NC,27607,531190,Corporation,White,Male Owned,Non-Veteran,,120,04/11/2020,First National Bank of Pennsylvania,NC-04
"e $150,000-350,000","10 FITNESS CORPORATE SALES, INC. OF LITTLE ROCK","1001 Rushing Circle, Suite D",LITTLE ROCK,AR,72204,713940,Subchapter S Corporation,White,Male Owned,Non-Veteran,,,04/10/2020,Simmons Bank,AR-02
"d $350,000-1 million","10 FOLD COMMUNICATIONS, INC.",800 S. Broadway Ste. 309,WALNUT CREEK,CA,94596,541820,Corporation,Unanswered,Female Owned,Unanswered,,35,04/11/2020,Heritage Bank of Commerce,CA-11
"e $150,000-350,000",10 HANOVER SQUARE GYM LLC DBA COMPLETE BODY,10 HANOVER SQ APT 23A,NEW YORK,NY,10005,713940,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,39,05/01/2020,"JPMorgan Chase Bank, National Association",NY-10
"e $150,000-350,000",10 INDUSTRY CORP,10 INDUSTRY DR,BEDFORD,OH,44146,999990,Corporation,Unanswered,Male Owned,Unanswered,,9,04/15/2020,First National Bank of Pennsylvania,OH-11
"d $350,000-1 million","10 MEN, LLC",1923 N 42nd St,OMAHA,NE,68111,238160,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,50,04/06/2020,Northwest Bank,NE-02
"e $150,000-350,000",10 MILDRED PLACE REALTY LLC / SANDWIRE CORP,20 HEMPSTEAD TPKE,FARMINGDALE,NY,11735,541519,Corporation,White,Male Owned,Non-Veteran,,7,04/07/2020,"People's United Bank, National Association",NY-02
"e $150,000-350,000","10 MINUTE FITNESS, INC",3001 BRIDGEWAY BLVD K316,SAUSALITO,CA,94965,713940,Corporation,Unanswered,Unanswered,Unanswered,,38,04/15/2020,Stearns Bank National Association,CA-02
"d $350,000-1 million","10 MISSIONS MEDIA, LLC",571 SNELLING AVE,SAINT PAUL,MN,55104,511199,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,34,04/05/2020,Fidelity Bank,MN-04
"e $150,000-350,000",10 PACKS LLC,47132 Poth Rd,COLUMBUS,OH,43213,453998,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,28,04/09/2020,The Huntington National Bank,OH-03
"d $350,000-1 million","10 SERVICES COMPANY, LLC",2450 CHAMBERS ST,VENUS,TX,76084,484220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,40,04/14/2020,"First Financial Bank, National Association",TX-06
"e $150,000-350,000",10 SOUTH LLC,1301 WASHINGTON ST,VICKSBURG,MS,39180,722410,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,51,04/04/2020,RiverHills Bank,MS-02
c $1-2 million,10 TANKER AIR CARRIER LLC,2503-A CLARK CARR LOOP SE,ALBUQUERQUE,NM,87106,115310,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,55,04/05/2020,"BOKF, National Association",NM-01
"e $150,000-350,000","10 TUPELO, INC.","3212 West 23rd Street,",Panama City,FL,32405,722511,Corporation,Unanswered,Unanswered,Unanswered,,31,04/16/2020,Regions Bank,FL-02
"e $150,000-350,000","10-15 REALTY, INC",28643 NORH SKY CREST DR,MUNDELEIN,IL,60060,541110,Corporation,Unanswered,Unanswered,Unanswered,,13,08/05/2020,"Kabbage, Inc.",IL-10
"e $150,000-350,000","10-33 AMBULANCE SERVICE, LTD",3 Wolfer Industrial Park,SPRING VALLEY,IL,61362,621910,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,29,04/07/2020,Spring Valley City Bank,IL-16
"e $150,000-350,000",10-4 HOMERUN TRUCKING LLC,365 NE ADAMS DAIRY PKWY,BLUE SPRINGS,MO,64014,492110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,95,05/06/2020,CommunityAmerica CU,MO-05
"e $150,000-350,000",10-4 PRODUCTIONS,2180 Pinetop Lane Unit 105,Las vegas,NV,89119,512110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,27,05/06/2020,Customers Bank,NV-01
"e $150,000-350,000",10-8 EMERGENCY VEHICLE SERVICE,501B East Main St,New Holland,PA,17557,811198,Corporation,Unanswered,Unanswered,Unanswered,,24,04/15/2020,Members 1st FCU,PA-11
"e $150,000-350,000","10-CODE, LLC","201 Slate Drive, Suite 6",BISMARCK,ND,58503,561612,Limited  Liability Company(LLC),Unanswered,Male Owned,Veteran,,19,04/11/2020,BNC National Bank,ND-00
"d $350,000-1 million","10-D, INC.",8717 W 110th St,OVERLAND PARK,KS,66210,541519,Corporation,Unanswered,Male Owned,Non-Veteran,,42,04/11/2020,Bank of Blue Valley,KS-03
c $1-2 million,"10,000 DEGREES",1650 Los Ganos Drive Suite 110,SAN RAFAEL,CA,94903,611710,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,82,04/10/2020,Bank of San Francisco,CA-02
"e $150,000-350,000","10/40 WINDOW, INC.",42505 PACIFIC COAST HWY,MALIBU,CA,90265,722513,Corporation,Asian,Male Owned,Non-Veteran,,20,04/09/2020,Hanmi Bank,CA-33
"e $150,000-350,000",100 ACADEMY OF EXCELLENCE,2341 Comstock Drive,NORTH LAS VEGAS,NV,89032,611110,Non-Profit Organization,Asian,Male Owned,Non-Veteran,Y,43,04/28/2020,Frost Bank,NV-04
"e $150,000-350,000","100 BLACK MEN OF AMERCA, INC.","141 AUBURN AVENUE, NE",ATLANTA,GA,30303,813410,Non-Profit Organization,Black or African American,Male Owned,Non-Veteran,Y,12,04/15/2020,Citizens Trust Bank,GA-05
"e $150,000-350,000","100 CLUB CONCEPTS, INC.",100 MARKET STREET STE 500,PORTSMOUTH,NH,3801,531120,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,30,04/05/2020,Bangor Savings Bank,NH-01
"e $150,000-350,000","100 DORRANCE STREET PROPERTY MANAGEMENT, LLC",100 Dorrance St.,PROVIDENCE,RI,2903,541611,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,24,04/11/2020,Radius Bank,RI-01
"d $350,000-1 million",100 DREAMS INC.,3183 WILSHIRE BLVD UNIT 732,LOS ANGELES,CA,90010,999990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,4,05/01/2020,"JPMorgan Chase Bank, National Association",CA-34
"e $150,000-350,000","100 EMERALD GREENS, LLC",745 BOYLSTON ST,BOSTON,MA,2116,531110,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,15,04/15/2020,Community Bank of Mississippi,MA-07
"e $150,000-350,000",100 FOX AND JANE INC,223 GRAND ST,NEW YORK,NY,10013,812112,Limited  Liability Company(LLC),Unanswered,Unanswered,Non-Veteran,,28,04/30/2020,"JPMorgan Chase Bank, National Association",NY-10
"e $150,000-350,000",100 GREAVES LN MEAT LLC,100 GREAVES LANE,STATEN ISLAND,NY,10308,445110,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,80,07/29/2020,Northfield Bank,NY-11
"d $350,000-1 million",100 HOSPITALITY LLC,100 Walt Whitman Road,Huntington,NY,11746,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,50,06/23/2020,"TD Bank, National Association",NY-02
"e $150,000-350,000",100 MARKETERS LLC,12000 BISCAYNE BLVD,NORTH MIAMI,FL,33181,541810,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,12,05/12/2020,First Horizon Bank,FL-24
"e $150,000-350,000",100 NORTH SUMMERLIN LLC,100 N SUMMERLIN AVE,ORLANDO,FL,32801,445110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,28,04/30/2020,"Bank of America, National Association",FL-10
"e $150,000-350,000","100 OCEANGATE, LLC",659 N. ROBERTSON BLVD,WEST HOLLYWOOD,CA,90069,531120,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,11,04/11/2020,City National Bank,CA-28
"e $150,000-350,000",100 PERCENT CONCRETE INC,"5057 Kiernan Ct., Ste D",SALIDA,CA,95368,238120,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,19,04/16/2020,Bank of the West,CA-10
"e $150,000-350,000",100 PERCENT INC,49 E. Lancaster Avenue,PAOLI,PA,19301,531210,Corporation,Unanswered,Unanswered,Unanswered,,,04/11/2020,Customers Bank,PA-06
"d $350,000-1 million",100 PERCENT REAL TRUCKING LLC,9633 SAINT LN,SAINT LOUIS,MO,63134,492110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,54,06/11/2020,"U.S. Bank, National Association",MO-01
"e $150,000-350,000",100 VAN NESS LLC,100 VAN NESS AVE # A,SAN FRANCISCO,CA,94102,531110,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,25,05/03/2020,"Bank of America, National Association",CA-12
"e $150,000-350,000","100 W & T ENTERPRISES, INC",100 W & T Enterprises Inc,MARLTON,NJ,8053,445310,Corporation,White,Male Owned,Non-Veteran,,30,04/09/2020,"TD Bank, National Association",NJ-03
"e $150,000-350,000",100% ANTOJITOS MEXICANOS INC,2306 E Interstate Hwy 2,MISSION,TX,78572,722511,Corporation,Hispanic,Unanswered,Unanswered,,48,04/27/2020,Lone Star National Bank,TX-28
"d $350,000-1 million","100% SPEEDLAB, LLC",9630 Aero Drive 0.0,San Diego,CA,92123,339920,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,51,04/11/2020,"JPMorgan Chase Bank, National Association",CA-52
c $1-2 million,1000 3000 5000 WINDROW DRIVE OPERATING COMPANY LLC,5000 Windrow Drive,Princeton,NJ,8540,623110,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,182,04/28/2020,Valley National Bank,NJ-12
"d $350,000-1 million","1000 ATLANTIC BOULEVARD, LLC",1000 ATLANTIC BLVD,KEY WEST,FL,33040,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,50,06/15/2020,First Horizon Bank,FL-26
"e $150,000-350,000",1000 DAYS,1020 19th ST NW,Washington,DC,20036,813319,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,8,04/29/2020,"TD Bank, National Association",DC-00
"e $150,000-350,000",1000 FRIENDS OF OREGON,133 SW 2nd Ave Ste 201,Portland,OR,97204,813312,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,17,04/11/2020,"CRF Small Business Loan Company, LLC",OR-03
"e $150,000-350,000","1000 ISLANDS MARKET, INC.",5003 State St,CLAYTON,NY,13624,311422,Corporation,Unanswered,Unanswered,Unanswered,,0,04/28/2020,"NBT Bank, National Association",NY-21
"e $150,000-350,000",1000 ISLANDS RIVER RAT CHEESE INC,242 James St,CLAYTON,NY,13624,445299,Corporation,Unanswered,Unanswered,Unanswered,,22,04/11/2020,"Community Bank, National Association",NY-21
"d $350,000-1 million",1000 MADISON AVE LLC,1000 Madison Ave,NEW YORK,NY,10075,531210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,87,04/12/2020,"BankUnited, National Association",NY-12
c $1-2 million,1000 NORTH LLC,1000 N. US HWY 1 SUITE 900,JUPITER,FL,33477,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,114,04/13/2020,Centennial Bank,FL-18
"e $150,000-350,000",1000 POST STREET PARTNERS LLC,"3450 3rd Street, Building 1B",San Francisco,CA,94124,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,04/15/2020,Live Oak Banking Company,CA-12
"e $150,000-350,000","1000 PRAIRIE CONCEPT, LLC",1000 MAIN ST,HOUSTON,TX,77002,722515,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,42,04/13/2020,Prosperity Bank,TX-18
"d $350,000-1 million",1000 RIVERSIDE PARTNERS LLC,1000 RIVERSIDE AVE STE 100,JACKSONVILLE,FL,32204,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,86,04/15/2020,Hancock Whitney Bank,FL-04
"e $150,000-350,000",1000 WATT CONSULTING,120 NW 9TH AVE STE 216,PORTLAND,OR,97209,,Corporation,Unanswered,Male Owned,Unanswered,,14,05/03/2020,"Bank of America, National Association",OR-01
b $2-5 million,"1000K, LLC",900 10th Street NW,WASHINGTON,DC,20001,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,172,04/15/2020,"Zions Bank, A Division of",DC-00
"e $150,000-350,000",1001 3RD ST LLC,1001 3RD ST,SANTA MONICA,CA,90403,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,20,04/30/2020,City National Bank,CA-33
"e $150,000-350,000","1001 NIGHTS, INC.",150 E De Vargas Street,SANTA FE,NM,87501,721110,Corporation,Unanswered,Unanswered,Unanswered,,36,04/10/2020,"Washington Federal Bank, National Association",NM-03
"d $350,000-1 million","1001 W LAKE OPCO, LLC","1330 W Fulton St., Suite 800 0.0",Chicago,IL,60607,722410,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,84,04/09/2020,"JPMorgan Chase Bank, National Association",IL-07
"d $350,000-1 million",1001 WHITE PLAINS ROAD RESTAURANT CORP,817 Allerton Ave,BRONX,NY,10467,722511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,2,04/10/2020,"TD Bank, National Association",NY-14
"d $350,000-1 million",1003 PARK ST. INC,1003 Park Street,OGDENSBURG,NY,13669,447110,Corporation,Unanswered,Male Owned,Non-Veteran,,73,04/06/2020,Watertown Savings Bank,NY-21
"d $350,000-1 million","1005 ROOFING, LLC",5635 STATE ROAD 54,NEW PORT RICHEY,FL,34652,238160,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,55,04/15/2020,"Bank of America, National Association",FL-12
"e $150,000-350,000",1007 MARKET CONDOMINIUM ASSOCIATION,1000 N. WEST ST,WILMINGTON,DE,19801,813990,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,10,04/13/2020,Mid Penn Bank,DE-00
"e $150,000-350,000",100S SEAFOOD BUFFET INC.,2828 CAMINO DEL RIO S,SAN DIEGO,CA,92108,722511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,78,04/30/2020,"JPMorgan Chase Bank, National Association",CA-53
"e $150,000-350,000","100X MARKETING GROUP, INC.",14500 SYCAMORE RD,OTTUMWA,IA,52501,541613,Corporation,White,Female Owned,Unanswered,,19,04/08/2020,Iowa Trust and Savings Bank,IA-02
"d $350,000-1 million",101 BUILDERS INC,10435 MONTEREY RD,GILROY,CA,95020,236115,Corporation,Unanswered,Unanswered,Unanswered,,11,04/11/2020,Tri Counties Bank,CA-19
"e $150,000-350,000",101 BUILDING SUPPLY &AMP; DESIGN INC,200 OLYMPIC ST,CHARLOTTE,NC,28273,541990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,13,05/03/2020,"PNC Bank, National Association",NC-12
"e $150,000-350,000",101 DINE LLC,101 N Michigan Street,South Bend,IN,46601,722511,Partnership,Unanswered,Male Owned,Non-Veteran,,28,04/29/2020,1st Source Bank,IN-02
"d $350,000-1 million",101 EAST DELAWARE AVENUE OPERATIONS LLC,101 Delaware Ave,Delmar,DE,19940,623110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,150,04/12/2020,Cross River Bank,DE-00
"d $350,000-1 million",101 EXPRESS LLC,1936 W County Line Rd,WALKERTON,IN,46574,484110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,49,04/09/2020,Notre Dame FCU,IN-02
"e $150,000-350,000",101 FEDERAL STREET LLC,101 FEDERAL ST,BOSTON,MA,2110,713940,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/28/2020,Cambridge Savings Bank,MA-08
"e $150,000-350,000","101 J&Y, LLC","98889 BELLAIRE BLVD, #110",HOUSTON,TX,77036,722511,Limited  Liability Company(LLC),Asian,Male Owned,Unanswered,,37,05/08/2020,"Golden Bank, National Association",TX-07
"e $150,000-350,000",101 OPERATING COMPANY INC,PO BOX 489,CALHOUN,LA,71225,447110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,43,04/13/2020,Progressive Bank,LA-05
"e $150,000-350,000",101 PHOENIX INC,208 E VALLEY BLVD,ALHAMBRA,CA,91801,722511,Corporation,Asian,Female Owned,Non-Veteran,,28,04/04/2020,East West Bank,CA-27
"d $350,000-1 million",101 PINE STREET MASTER TENANT LLC,107 Pine Street,SEATTLE,WA,98101,531390,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,52,04/30/2020,"Bank of America, National Association",WA-07
"e $150,000-350,000","101 PIPE & CASING, INC.",30300 AGOURA RD,AGOURA HILLS,CA,91301,423510,Corporation,Unanswered,Male Owned,Non-Veteran,,32,04/28/2020,"MUFG Union Bank, National Association",CA-33
"e $150,000-350,000","101 PRODUCTIONS, LTD.",260 44TH ST STE 600,NEW YORK,NY,10036,711110,Subchapter S Corporation,White,Female Owned,Non-Veteran,,26,04/28/2020,City National Bank,NY-12
"e $150,000-350,000",101 RIVER INC,101 RIVER ST,GRAND RIVER,OH,44045,722511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,153,05/03/2020,"PNC Bank, National Association",OH-14
"e $150,000-350,000","101 SAFETY, LLC",PO BOX,HOBBS,NM,88241,213112,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,21,04/27/2020,Western Commerce Bank,NM-02
"d $350,000-1 million","101 STUDIOS, LLC",335 N Maple Dr Ste 350,Beverly Hills,CA,90210,812990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,37,05/03/2020,"Bank of America, National Association",CA-30
"e $150,000-350,000","101 TECHNOLOGIES, INC.",1616 E 10TH ST,SIOUX FALLS,SD,57103,541519,Corporation,White,Male Owned,Unanswered,,28,04/08/2020,First Savings Bank,SD-00
"e $150,000-350,000","101 TRANSPORT, INC.",749 HWY 12,HUDSON,WI,54016,484121,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,23,04/08/2020,Minnesota Bank & Trust,WI-07
"e $150,000-350,000","101 W 55 REST., INC.",1361 AVE OF AMERICAS,NEW YORK,NY,10019,722511,Corporation,Unanswered,Unanswered,Unanswered,,15,05/01/2020,"JPMorgan Chase Bank, National Association",NY-10
"d $350,000-1 million",1010 BP LLC,1010 brickell ave,MIAMI,FL,33131,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,56,04/08/2020,City National Bank of Florida,FL-27
"e $150,000-350,000",1010 COFFEE CORP.,169 STRATFORD RD,BROOKLYN,NY,11218,,Corporation,Unanswered,Unanswered,Unanswered,,20,05/01/2020,"JPMorgan Chase Bank, National Association",NY-09
"e $150,000-350,000",10100 KEMPWOOD LP,10100 Keempwood Dr,HOUSTON,TX,77080,623312,Partnership,Unanswered,Unanswered,Unanswered,,,04/28/2020,"Spirit of Texas Bank, SSB",TX-18
"e $150,000-350,000",1011 THIRD AVENUE M &AMP; I LLC DBA ZAVO RESTAURANT,108-49 63RD AVENUE 1B,FOREST HILLS,NY,11375,,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,27,05/01/2020,"JPMorgan Chase Bank, National Association",NY-06
